task_id,department,section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,defect_type,defect_severity,days_overdue,reported_at,urgency_score,status,section_criticality_score
151,TRACTION_DISTRIBUTION,25195,PRZ_MHBG,PRZ,PARSA,MHBG,MAHADEVA  BU,Insulator flashover/damage,2,19,2026-08-12 19:54:14.288111,,PENDING,0.3382
152,SIGNAL_TELECOM,13644,SHRG_GAMI,SHRG,SHRI RAMGARH,GAMI,GOGAMERI,Track circuit failure,4,15,2026-08-16 08:29:14.288111,,PENDING,0.1308
153,ENGINEERING,13246,KXA_KDL,KXA,KUNARIYA,KDL,KANKROLI,Weld defect,3,11,2026-08-20 20:27:14.288111,,PENDING,0.2074
154,ENGINEERING,19393,SHE_DEA,SHE,SEORAPHULI J,DEA,DIARA,Rail fracture,3,24,2026-08-07 10:32:14.288111,,PENDING,0.671
155,TRACTION_DISTRIBUTION,16102,BDBG_MKS,BDBG,BADHAI BALAM,MKS,MUKTSAR,OHE wire wear/breakage,5,1,2026-08-31 01:41:14.288111,,PENDING,0.3382
156,SIGNAL_TELECOM,5206,CKNI_WRR,CKNI,CHIKNI ROAD,WRR,WARORA,Point machine malfunction,4,0,2026-08-31 10:20:14.288111,,PENDING,0.2074
157,ENGINEERING,17010,NDPR_KNJJ,NDPR,NANDAPUR,KNJJ,KANNJARA HAL,Rail wear (flange/gauge),1,3,2026-08-28 08:39:14.288111,,PENDING,0.2616
158,ENGINEERING,6812,TTL_VPT,TTL,TIRUTTANGAL,VPT,VIRUDUNAGAR,Weld defect,2,0,2026-08-31 16:06:14.288111,,PENDING,0.3382
159,SIGNAL_TELECOM,14802,RCTC_GRKN,RCTC,RAGHUNATHPUR,GRKN,GORAKHNATH,Point machine malfunction,4,12,2026-08-20 01:56:14.288111,,PENDING,0.1308
160,TRACTION_DISTRIBUTION,26191,DZL_BNW,DZL,DHANA LADANP,BNW,BHIWANI JN.,Mast/structure damage,3,0,2026-08-31 22:53:14.288111,,PENDING,0.2616
161,TRACTION_DISTRIBUTION,5110,ADI_SBI,ADI,AHMEDABAD,SBI,SABARMATI JN,Mast/structure damage,3,14,2026-08-18 05:23:14.288111,,PENDING,0.6075
162,ENGINEERING,23102,HSR_SSA,HSR,HISAR JN,SSA,SIRSA,Ballast degradation,3,3,2026-08-28 13:50:14.288111,,PENDING,0.2616
163,TRACTION_DISTRIBUTION,22840,KKET_TTLA,KKET,KAMRUP KHETR,TTLA,TETELIA,OHE wire wear/breakage,4,36,2026-07-26 22:16:14.288111,,PENDING,0.2074
164,SIGNAL_TELECOM,7956,JNN_MHQ,JNN,JAMUNIATANR,MHQ,MOHUDA,Track circuit failure,3,24,2026-08-07 22:21:14.288111,,PENDING,0.2074
165,SIGNAL_TELECOM,10643,VKB_SC,VKB,VIKRABAD JN.,SC,SECUNDERABAD,Level crossing gate fault,4,43,2026-07-20 02:56:14.288111,,PENDING,0.2074
166,ENGINEERING,27219,MDU_VPT,MDU,MADURAI JN,VPT,VIRUDUNAGAR,Formation/subgrade issue,4,2,2026-08-29 20:01:14.288111,,PENDING,0.5998
167,ENGINEERING,25599,CKI_AFK,CKI,CHALAKUDI,AFK,ANGAMALI (FO,Track geometry deviation (twist/alignment),4,2,2026-08-30 05:27:14.288111,,PENDING,0.5111
168,SIGNAL_TELECOM,6492,RWA_RNX,RWA,RAUTARA,RNX,RANIPATRA,Point machine malfunction,4,9,2026-08-22 15:04:14.288111,,PENDING,0.3925
169,ENGINEERING,17374,SLGR_SRTN,SLGR,SIMALUGURI J,SRTN,SIBSAGAR TOW,Ballast degradation,4,0,2026-09-01 06:47:14.288111,,PENDING,0.3038
170,TRACTION_DISTRIBUTION,9744,PAVP_TOU,PAVP,PEDDA AVUTAP,TOU,TELAPROLU,OHE wire wear/breakage,1,7,2026-08-24 16:04:14.288111,,PENDING,0.3382
171,SIGNAL_TELECOM,4553,ADI_MHD,ADI,AHMEDABAD,MHD,MAHEMADAVAD,Cable/communication fault,3,1,2026-08-31 03:12:14.288111,,PENDING,0.3038
172,TRACTION_DISTRIBUTION,20148,BTP_JLL,BTP,BABATPUR,JLL,JALALGANJ,OHE wire wear/breakage,3,41,2026-07-21 08:08:14.288111,,PENDING,0.2074
173,TRACTION_DISTRIBUTION,27654,GVG_SIR,GVG,MANDI GOBIND,SIR,SIRHIND JN.,Feeder/circuit breaker fault,5,17,2026-08-14 20:59:14.288111,,PENDING,0.4147
174,TRACTION_DISTRIBUTION,6302,KBR_MTH,KBR,KABRAI,MTH,MATAUNDH,Feeder/circuit breaker fault,2,19,2026-08-12 23:15:14.288111,,PENDING,0.3038
175,ENGINEERING,24062,KGP_TATA,KGP,KHARAGPUR,TATA,TATANAGAR JN,Formation/subgrade issue,5,10,2026-08-21 23:57:14.288111,,PENDING,0.5834
176,SIGNAL_TELECOM,6420,LMNR_INDB,LMNR,LAXMIBAINAGA,INDB,INDORE BG,Signal aspect failure,3,8,2026-08-23 21:47:14.288111,,PENDING,0.4346
177,SIGNAL_TELECOM,28033,BRJ_SSP,BRJ,BRACE BRIDGE,SSP,SANTOSH PUR,Interlocking fault,4,22,2026-08-10 01:52:14.288111,,PENDING,0.6541
178,SIGNAL_TELECOM,21557,AGC_DSJ,AGC,AGRA CANTT,DSJ,DELHI-SAFDAR,Signal aspect failure,2,1,2026-08-31 01:54:14.288111,,PENDING,0.2074
179,SIGNAL_TELECOM,26389,DEC_PTNR,DEC,DELHI CANTT,PTNR,PATEL NAGAR,Level crossing gate fault,5,0,2026-08-31 14:50:14.288111,,PENDING,0.4981
180,SIGNAL_TELECOM,19258,BPGR_PATR,BPGR,BENIPURGRAM,PATR,PARAMJEEVAR,Level crossing gate fault,4,22,2026-08-09 16:49:14.288111,,PENDING,0.1308
181,ENGINEERING,6428,JWP_HW,JWP,JWALAPUR,HW,HARIDWAR JN,Track geometry deviation (twist/alignment),3,1,2026-08-30 12:57:14.288111,,PENDING,0.469
182,TRACTION_DISTRIBUTION,11378,BAO_NUB,BAO,BANMORE,NUB,NURABAD,Pantograph interaction issue,2,1,2026-08-30 11:00:14.288111,,PENDING,0.2616
183,SIGNAL_TELECOM,23096,ET_BZU,ET,ITARSI,BZU,BETUL,Point machine malfunction,1,1,2026-08-30 16:18:14.288111,,PENDING,0.5654
184,ENGINEERING,13890,MSB_MSF,MSB,CHENNAI BEAC,MSF,CHENNAI FORT,Track geometry deviation (twist/alignment),3,12,2026-08-19 14:17:14.288111,,PENDING,0.93
185,ENGINEERING,18159,KNJI_NCP,KNJI,KARANJALI,NCP,NISCHINDAPUR,Fastening/clip failure,4,5,2026-08-27 04:40:14.288111,,PENDING,0.5233
186,TRACTION_DISTRIBUTION,27915,KPB_BRU,KPB,KHARPOKHRA,BRU,BIHAIROGANJ,OHE wire wear/breakage,2,7,2026-08-24 07:27:14.288111,,PENDING,0.3382
187,TRACTION_DISTRIBUTION,24901,BRD_G,BRD,BHANDARA RD,G,GONDIA JN.,Pantograph interaction issue,3,4,2026-08-28 05:34:14.288111,,PENDING,0.3038
188,ENGINEERING,10340,TTR_BNK,TTR,TIPTUR,BNK,BANASANKARI,Fastening/clip failure,3,21,2026-08-10 09:03:14.288111,,PENDING,0.3038
189,TRACTION_DISTRIBUTION,18611,RUSD_MFP,RUSD,RUNNIASAIDPU,MFP,MUZAFFARPUR,OHE wire wear/breakage,2,6,2026-08-25 19:09:14.288111,,PENDING,0.2616
190,SIGNAL_TELECOM,13180,TDPR_VM,TDPR,TIRUPPADIRIP,VM,VILLUPURAM J,Signal aspect failure,3,15,2026-08-17 06:53:14.288111,,PENDING,0.469
191,SIGNAL_TELECOM,6242,MSMD_R,MSMD,MAHASAMUND,R,RAIPUR JN.,Track circuit failure,3,22,2026-08-10 06:56:14.288111,,PENDING,0.4981
192,TRACTION_DISTRIBUTION,1672,MRT_HTC,MRT,MATHURA CANT,HTC,HATHRAS CITY,Mast/structure damage,2,6,2026-08-26 03:22:14.288111,,PENDING,0.3382
193,SIGNAL_TELECOM,2411,TLRA_BLDL,TLRA,TALARA,BLDL,BALLE-DA-PIR,Level crossing gate fault,1,7,2026-08-24 15:22:14.288111,,PENDING,0.3673
194,SIGNAL_TELECOM,7875,BJE_JOC,BJE,BHOJUDIH JN.,JOC,JOYCHANDI PA,Signal aspect failure,4,14,2026-08-17 15:15:14.288111,,PENDING,0.3925
195,TRACTION_DISTRIBUTION,20091,HG_TLT,HG,HOTGI JN.,TLT,TILATI,Pantograph interaction issue,3,31,2026-07-31 18:15:14.288111,,PENDING,0.2616
196,SIGNAL_TELECOM,16495,DRL_KRSA,DRL,DEROL,KRSA,KHARSALIYA,Cable/communication fault,4,11,2026-08-20 15:43:14.288111,,PENDING,0.3382
197,SIGNAL_TELECOM,14537,KCT_DHE,KCT,KERAKAT (HAL,DHE,DHOBHI,Level crossing gate fault,3,30,2026-08-02 03:59:14.288111,,PENDING,0.3038
198,ENGINEERING,25317,MJT_BRJ,MJT,MAJERHAT,BRJ,BRACE BRIDGE,Formation/subgrade issue,4,19,2026-08-12 18:04:14.288111,,PENDING,0.6541
199,TRACTION_DISTRIBUTION,25220,KGS_TGQ,KGS,KHONGSARA,TGQ,TENGANMADA,Traction substation fault,5,18,2026-08-14 07:13:14.288111,,PENDING,0.3673
200,TRACTION_DISTRIBUTION,835,TLM_PV,TLM,TIRUSULAM,PV,PALLAVARAM,Pantograph interaction issue,3,6,2026-08-25 08:18:14.288111,,PENDING,0.93
201,SIGNAL_TELECOM,26329,VN_AB,VN,VANIYAMBADI,AB,AMBUR,Signal aspect failure,1,26,2026-08-05 18:23:14.288111,,PENDING,0.4147
202,ENGINEERING,6519,TLD_BYT,TLD,TILDA,BYT,BHATAPARA,Rail wear (flange/gauge),2,5,2026-08-27 03:17:14.288111,,PENDING,0.4981
203,SIGNAL_TELECOM,13721,KWH_KFK,KWH,KACHHWA ROAD,KFK,KATKA,Cable/communication fault,4,8,2026-08-24 01:15:14.288111,,PENDING,0.3382
204,ENGINEERING,14692,MZGI_ALJN,MZGI,MANJUR GADI,ALJN,ALIGARH JN.,Ballast degradation,4,25,2026-08-07 00:27:14.288111,,PENDING,0.3038
205,ENGINEERING,26526,KEP_PRTN,KEP,KELANPUR,PRTN,PRATAP NAGAR,Rail fracture,3,12,2026-08-19 11:49:14.288111,,PENDING,0.3038
206,SIGNAL_TELECOM,525,KQD_LKPL,KQD,KHAIRATABAD,LKPL,LAKDI KA PUL,Level crossing gate fault,5,4,2026-08-27 13:26:14.288111,,PENDING,0.6419
207,TRACTION_DISTRIBUTION,3299,SNO_VNJ,SNO,SOMANUR,VNJ,VANJIPALAIYA,Insulator flashover/damage,5,11,2026-08-20 21:26:14.288111,,PENDING,0.3038
208,SIGNAL_TELECOM,8235,DZB_KNNK,DZB,DAHINA-ZAINA,KNNK,KANINA KHAS,Level crossing gate fault,3,56,2026-07-07 00:29:14.288111,,PENDING,0.4147
209,TRACTION_DISTRIBUTION,2353,HMZ_UPA,HMZ,HINDMOTOR,UPA,UTTARPARA,Feeder/circuit breaker fault,4,38,2026-07-24 10:31:14.288111,,PENDING,0.8988
210,ENGINEERING,27150,SPGR_AMSA,SPGR,SAMPIGE ROAD,AMSA,AMMASANDRA,Ballast degradation,4,3,2026-08-28 17:28:14.288111,,PENDING,0.3038
211,SIGNAL_TELECOM,9306,KPP_SJP,KPP,KALA PIPAL,SJP,SHUJALPUR,Interlocking fault,5,6,2026-08-25 19:53:14.288111,,PENDING,0.4147
212,ENGINEERING,20197,GDB_BHX,GDB,GIDDARBAHA,BHX,BULLUANA,Ballast degradation,4,10,2026-08-21 16:45:14.288111,,PENDING,0.3673
213,SIGNAL_TELECOM,6708,KLGN_RASP,KLGN,KALANGANI,RASP,RASIPURAM,Point machine malfunction,1,15,2026-08-16 11:43:14.288111,,PENDING,0.2074
214,ENGINEERING,10941,BRYA_DMRX,BRYA,BARHIYA,DMRX,DUMARI HALT,Ballast degradation,2,12,2026-08-19 23:42:14.288111,,PENDING,0.3382
215,ENGINEERING,14600,YPR_HUP,YPR,YESVANTPUR J,HUP,HINDUPUR,Formation/subgrade issue,2,90,2026-06-03 06:52:14.288111,,PENDING,0.3925
216,ENGINEERING,20992,MJF_CVB,MJF,MALKAJGIRI,CVB,CAVALRY BARR,Fastening/clip failure,4,5,2026-08-26 20:30:14.288111,,PENDING,0.1308
217,ENGINEERING,4474,SMKR_PKRH,SMKR,SHAM KAURIA,PKRH,PARSA KERWA,Track geometry deviation (twist/alignment),3,21,2026-08-10 19:43:14.288111,,PENDING,0.2074
218,TRACTION_DISTRIBUTION,7300,ASE_BGZ,ASE,ASAUDAH,BGZ,BAHADURGARH,Traction substation fault,4,9,2026-08-22 12:38:14.288111,,PENDING,0.4981
219,SIGNAL_TELECOM,24958,PRWS_TI,PRWS,PATTABIRAM W,TI,TIRUNINRAVUR,Level crossing gate fault,4,0,2026-09-01 03:09:14.288111,,PENDING,0.8198
220,TRACTION_DISTRIBUTION,799,MKN_KMNC,MKN,MAKRANA JN.,KMNC,KUCHAMAN CIT,Insulator flashover/damage,3,1,2026-08-31 01:23:14.288111,,PENDING,0.4841
221,ENGINEERING,18936,KYN_NK,KYN,KALYAN JN,NK,NASIK ROAD,Rail fracture,3,5,2026-08-26 07:24:14.288111,,PENDING,0.5834
222,TRACTION_DISTRIBUTION,15329,VPY_BBQ,VPY,VEYSARPADI,BBQ,BASIN BRIDGE,Pantograph interaction issue,3,3,2026-08-28 07:49:14.288111,,PENDING,0.8534
223,SIGNAL_TELECOM,25555,HBW_PNI,HBW,HABIBWALA,PNI,PURAINI,Signal aspect failure,3,3,2026-08-28 14:35:14.288111,,PENDING,0.2616
224,SIGNAL_TELECOM,16134,UR_TMX,UR,UMDANAGAR,TMX,TIMMAPUR,Cable/communication fault,4,1,2026-08-30 09:39:14.288111,,PENDING,0.4526
225,ENGINEERING,3542,ANCR_CJN,ANCR,ANCHURI PH,CJN,CHHATNA,Track geometry deviation (twist/alignment),3,57,2026-07-05 12:03:14.288111,,PENDING,0.3925
226,TRACTION_DISTRIBUTION,10901,RSWT_QMRS,RSWT,RAMGARH SHEK,QMRS,KAYAMSAR,Insulator flashover/damage,3,1,2026-08-30 19:34:14.288111,,PENDING,0.1308
227,SIGNAL_TELECOM,26041,DOL_SIHO,DOL,DHOLI,SIHO,SIHO,Interlocking fault,2,20,2026-08-11 21:51:14.288111,,PENDING,0.3673
228,SIGNAL_TELECOM,7346,BJU_LKR,BJU,BARAUNI JN.,LKR,LUCKEESARAI,Level crossing gate fault,1,2,2026-08-29 21:25:14.288111,,PENDING,0.2074
229,ENGINEERING,12401,GTNR_BNZ,GTNR,GOMTINAGAR F,BNZ,BADSHAHNAGAR,Formation/subgrade issue,3,18,2026-08-13 23:16:14.288111,,PENDING,0.4526
230,ENGINEERING,18624,VKH_SNSL,VKH,VIKHRAN ROAD,SNSL,SHONSELU,Ballast degradation,3,20,2026-08-11 17:20:14.288111,,PENDING,0.2074
231,SIGNAL_TELECOM,17682,BPW_BAB,BPW,BURHPURA,BAB,BABINA,Point machine malfunction,4,2,2026-08-30 01:07:14.288111,,PENDING,0.2616
232,ENGINEERING,11149,DWDI_TKND,DWDI,DIGHWA DUBAU,TKND,TRIVIKARAMDE,Formation/subgrade issue,4,10,2026-08-21 16:13:14.288111,,PENDING,0.2074
233,SIGNAL_TELECOM,26067,JHS_CNB,JHS,JHANSI JN,CNB,KANPUR CENTR,Signal aspect failure,2,29,2026-08-02 12:12:14.288111,,PENDING,0.2074
234,ENGINEERING,23877,KDTN_KDG,KDTN,KADETHAN,KDG,KEDGAON,Track geometry deviation (twist/alignment),4,8,2026-08-23 18:17:14.288111,,PENDING,0.4346
235,TRACTION_DISTRIBUTION,18721,SBV_SBM,SBV,SIMRI BAKHTI,SBM,SONBARSA KAC,Feeder/circuit breaker fault,2,36,2026-07-27 01:44:14.288111,,PENDING,0.4346
236,SIGNAL_TELECOM,3052,DGLE_NILE,DGLE,DHULIAN GANG,NILE,NIMTITA,Point machine malfunction,3,32,2026-07-30 20:14:14.288111,,PENDING,0.3038
237,TRACTION_DISTRIBUTION,13729,ROU_KRMD,ROU,ROURKELA,KRMD,KUARMUNDA,Feeder/circuit breaker fault,3,8,2026-08-23 15:00:14.288111,,PENDING,0.1308
238,ENGINEERING,152,JBB_GRHM,JBB,JAMBUR,GRHM,GIR GADHADA,Formation/subgrade issue,3,11,2026-08-20 19:42:14.288111,,PENDING,0.2074
239,TRACTION_DISTRIBUTION,14456,MPO_KRJR,MPO,MANPUR JN.,KRJR,KARJARA,Mast/structure damage,4,13,2026-08-18 10:21:14.288111,,PENDING,0.3925
240,TRACTION_DISTRIBUTION,4831,STN_BCQ,STN,SITARAMPUR J,BCQ,BARACHAK JN.,Traction substation fault,3,10,2026-08-22 00:25:14.288111,,PENDING,0.5233
241,SIGNAL_TELECOM,15128,CGH_BPRS,CGH,CHOLANG,BPRS,BHOGPUR SIRW,Track circuit failure,2,90,2026-06-02 13:36:14.288111,,PENDING,0.2616
242,SIGNAL_TELECOM,7801,RQP_GHNH,RQP,RADHA KISHOR,GHNH,GHANTIKAL NI,Point machine malfunction,3,24,2026-08-07 12:41:14.288111,,PENDING,0.2074
243,TRACTION_DISTRIBUTION,8438,AWR_MWW,AWR,ALWAR JN.,MWW,MAHWA,OHE wire wear/breakage,4,6,2026-08-26 02:13:14.288111,,PENDING,0.2616
244,SIGNAL_TELECOM,3730,JUDW_YJUD,JUDW,JAGADHRI WOR,YJUD,YAMUNANAGER,Cable/communication fault,3,24,2026-08-07 09:51:14.288111,,PENDING,0.5557
245,SIGNAL_TELECOM,995,BUW_CKG,BUW,BURHWAL JN.,CKG,CHOWKA GHAT,Interlocking fault,3,1,2026-08-30 16:59:14.288111,,PENDING,0.3038
246,TRACTION_DISTRIBUTION,15440,MJTA_VKA,MJTA,MAJITHA,VKA,VERKA JN.,Traction substation fault,4,4,2026-08-27 20:08:14.288111,,PENDING,0.3038
247,TRACTION_DISTRIBUTION,9849,VJR_SED,VJR,VIJAYA NAGAR,SED,SHEDBAL,Mast/structure damage,3,8,2026-08-23 09:55:14.288111,,PENDING,0.3382
248,ENGINEERING,7462,AY_GGJ,AY,AYODHYA,GGJ,GOSHAINGANJ,Track geometry deviation (twist/alignment),4,3,2026-08-28 21:28:14.288111,,PENDING,0.469
249,SIGNAL_TELECOM,8790,GGD_RPK,GGD,GULLAGUDA,RPK,RAVALPALLI K,Level crossing gate fault,2,16,2026-08-16 04:48:14.288111,,PENDING,0.4147
250,ENGINEERING,12000,PLU_NKDO,PLU,PATAKOTTACHE,NKDO,NAKKANADODDI,Weld defect,3,7,2026-08-24 11:01:14.288111,,PENDING,0.2616
251,TRACTION_DISTRIBUTION,19451,KII_PO,KII,KILLE,PO,PARANGIPPETT,Mast/structure damage,3,25,2026-08-06 16:56:14.288111,,PENDING,0.2616
252,ENGINEERING,1920,KPQ_CAN,KPQ,KANNAPURAM,CAN,KANNUR,Fastening/clip failure,4,2,2026-08-30 04:59:14.288111,,PENDING,0.4147
253,SIGNAL_TELECOM,8600,MBL_VKT,MBL,MANUBOLU,VKT,VENKATACHALE,Signal aspect failure,5,14,2026-08-17 12:31:14.288111,,PENDING,0.3925
254,ENGINEERING,22400,TNP_KOK,TNP,TONDIARPET,KOK,KORUKKUPET,Weld defect,2,2,2026-08-29 15:16:14.288111,,PENDING,0.7493
255,TRACTION_DISTRIBUTION,10294,MTU_MALM,MTU,MATMARI,MALM,MANTHRALAYAM,Insulator flashover/damage,4,35,2026-07-28 06:34:14.288111,,PENDING,0.2616
256,SIGNAL_TELECOM,12227,KVU_CRY,KVU,KADAKAVUR,CRY,CHIRAYINKIL,Cable/communication fault,1,7,2026-08-24 22:34:14.288111,,PENDING,0.469
257,ENGINEERING,22239,ASH_LJN,ASH,AISHBAGH,LJN,LUCKNOW JN.,Rail fracture,4,1,2026-08-31 01:17:14.288111,,PENDING,0.3038
258,SIGNAL_TELECOM,14357,KPV_RHN,KPV,KASHIPUR JN,RHN,ROSHANPUR,Cable/communication fault,3,1,2026-08-30 19:21:14.288111,,PENDING,0.2074
259,ENGINEERING,9419,CHKE_THKU,CHKE,CHALLAKERE,THKU,THALAKU,Weld defect,2,16,2026-08-15 16:14:14.288111,,PENDING,0.2074
260,TRACTION_DISTRIBUTION,16464,BTRA_SPN,BTRA,BANTHRA,SPN,SHAHJAHANPUR,Pantograph interaction issue,3,10,2026-08-21 19:33:14.288111,,PENDING,0.3382
261,SIGNAL_TELECOM,8011,KY_GAR,KY,KARELI,GAR,GADARWARA,Interlocking fault,4,10,2026-08-22 06:00:14.288111,,PENDING,0.4526
262,SIGNAL_TELECOM,21490,NZM_OKA,NZM,HAZRAT NIZAMUDDIN JN,OKA,OKHLA,Track circuit failure,3,4,2026-08-27 12:02:14.288111,,PENDING,0.6149
263,TRACTION_DISTRIBUTION,20715,TADA_AKM,TADA,TADA,AKM,ARAMBAKKAM,Feeder/circuit breaker fault,2,25,2026-08-06 21:23:14.288111,,PENDING,0.5557
264,SIGNAL_TELECOM,21592,KMZA_HRO,KMZA,KANKRA MIRZA,HRO,HARUA ROAD,Level crossing gate fault,4,0,2026-08-31 17:53:14.288111,,PENDING,0.5918
265,ENGINEERING,8111,HVR_KJG,HVR,HAVERI,KJG,KARAJGI,Fastening/clip failure,3,20,2026-08-12 06:51:14.288111,,PENDING,0.3925
266,TRACTION_DISTRIBUTION,10415,BIJ_KLNP,BIJ,BIRNAGAR,KLNP,KALINARAYANP,Traction substation fault,3,1,2026-08-31 01:44:14.288111,,PENDING,0.6221
267,SIGNAL_TELECOM,15170,BRP_MAK,BRP,BARUIPUR JN.,MAK,MALLIKPUR,Track circuit failure,2,9,2026-08-22 09:00:14.288111,,PENDING,0.8149
268,SIGNAL_TELECOM,645,RTA_BRRG,RTA,RUTHIYAI JN,BRRG,BIYAVRA RAJG,Track circuit failure,5,32,2026-07-31 00:35:14.288111,,PENDING,0.3673
269,TRACTION_DISTRIBUTION,14845,MOB_PAPM,MOB,MANOHARABAD,PAPM,PALATPOTARAM,Insulator flashover/damage,2,7,2026-08-24 15:33:14.288111,,PENDING,0.3038
270,SIGNAL_TELECOM,3036,SSC_LUA,SSC,SHAHI,LUA,LALAURI KHER,Point machine malfunction,4,5,2026-08-26 11:23:14.288111,,PENDING,0.3038
271,TRACTION_DISTRIBUTION,11679,KRR_VRQ,KRR,KARUR JN.,VRQ,VIRARAKKIYAM,Pantograph interaction issue,2,10,2026-08-21 20:10:14.288111,,PENDING,0.3382
272,TRACTION_DISTRIBUTION,10277,PVPT_RGDA,PVPT,PARVATIPURAM,RGDA,RAYAGADA JN.,Feeder/circuit breaker fault,4,34,2026-07-28 20:57:14.288111,,PENDING,0.4346
273,SIGNAL_TELECOM,9155,DNRE_UREN,DNRE,DHANAURI,UREN,UREN,Level crossing gate fault,4,48,2026-07-15 00:16:14.288111,,PENDING,0.3673
274,TRACTION_DISTRIBUTION,15906,ALNI_DDV,ALNI,ALNIYA,DDV,DADHDEVI,Insulator flashover/damage,3,1,2026-08-30 10:24:14.288111,,PENDING,0.3382
275,SIGNAL_TELECOM,3855,HPU_KALI,HPU,HAPUR JN.,KALI,KAILI,Point machine malfunction,4,4,2026-08-27 22:28:14.288111,,PENDING,0.2616
276,SIGNAL_TELECOM,3238,GWL_SVPI,GWL,GWALIOR JN,SVPI,SHIVPURI,Point machine malfunction,2,26,2026-08-06 00:25:14.288111,,PENDING,0.4147
277,SIGNAL_TELECOM,9129,JID_AJRE,JID,JAGI ROAD,AJRE,AUJURI,Track circuit failure,3,23,2026-08-08 12:06:14.288111,,PENDING,0.2074
278,TRACTION_DISTRIBUTION,21814,LBTL_BGRD,LBTL,LEBUTALA,BGRD,BELIAGHATA R,Pantograph interaction issue,3,14,2026-08-17 08:45:14.288111,,PENDING,0.5918
279,TRACTION_DISTRIBUTION,3552,EKL_ETW,EKL,EKDIL,ETW,ETAWAH,Feeder/circuit breaker fault,3,8,2026-08-23 17:36:14.288111,,PENDING,0.2616
280,SIGNAL_TELECOM,19946,PMPE_SINA,PMPE,PAMPORA,SINA,SRINAGAR,Point machine malfunction,3,21,2026-08-10 16:24:14.288111,,PENDING,0.4526
281,SIGNAL_TELECOM,6731,CWI_JUNX,CWI,CHONDI,JUNX,JUNONA HALT,Interlocking fault,3,22,2026-08-09 12:36:14.288111,,PENDING,0.2616
282,ENGINEERING,6638,DKM_LHL,DKM,DIKOM,LHL,LAHOAL,Track geometry deviation (twist/alignment),5,9,2026-08-23 04:11:14.288111,,PENDING,0.2074
283,ENGINEERING,341,BSKH_CNPI,BSKH,BASUKINATH,CNPI,CHANDANPAHAR,Fastening/clip failure,4,8,2026-08-23 12:40:14.288111,,PENDING,0.2616
284,SIGNAL_TELECOM,3295,SHDM_MOY,SHDM,SHAHABAD MAR,MOY,MOHRI,Point machine malfunction,3,4,2026-08-27 16:46:14.288111,,PENDING,0.4147
285,TRACTION_DISTRIBUTION,27537,KIUL_LKR,KIUL,KIUL JN.,LKR,LUCKEESARAI,Traction substation fault,1,4,2026-08-27 16:42:14.288111,,PENDING,0.6815
286,TRACTION_DISTRIBUTION,16070,TPJ_DG,TPJ,TIRUCHIRAPPA,DG,DINDIGUL JN,Insulator flashover/damage,3,39,2026-07-23 22:53:14.288111,,PENDING,0.5918
287,TRACTION_DISTRIBUTION,28025,ASKN_GUNA,ASKN,ASHOK NAGAR,GUNA,GUNA,Insulator flashover/damage,3,13,2026-08-18 08:20:14.288111,,PENDING,0.4981
288,ENGINEERING,9431,BAE_CDL,BAE,BALIAKHERI,CDL,CHODIALA,Formation/subgrade issue,3,10,2026-08-22 05:47:14.288111,,PENDING,0.1308
289,ENGINEERING,23673,KWC_GRH,KWC,KUNDWA CHAIN,GRH,GHORASAHAN,Formation/subgrade issue,4,8,2026-08-23 17:27:14.288111,,PENDING,0.3038
290,ENGINEERING,6869,KHGR_KWDP,KHGR,KASHINAGAR-H,KWDP,KWAKDWIP,Rail fracture,3,3,2026-08-28 23:19:14.288111,,PENDING,0.5233
291,TRACTION_DISTRIBUTION,27866,NCH_MXN,NCH,NAKACHARI,MXN,MARIANI JN.,Mast/structure damage,4,8,2026-08-24 01:08:14.288111,,PENDING,0.3038
292,TRACTION_DISTRIBUTION,19365,SW_KRYA,SW,SEHRAMAU,KRYA,KURRAIYA,Pantograph interaction issue,1,0,2026-08-31 20:39:14.288111,,PENDING,0.3382
293,SIGNAL_TELECOM,20870,OMLF_MLFC,OMLF,OLD MALDA,MLFC,MALDA COURT,Cable/communication fault,1,11,2026-08-20 21:25:14.288111,,PENDING,0.3382
294,TRACTION_DISTRIBUTION,27875,SBPD_RAIR,SBPD,SAMBALPUR RO,RAIR,RAIRAKHOL,Traction substation fault,5,38,2026-07-24 17:26:14.288111,,PENDING,0.3382
295,TRACTION_DISTRIBUTION,12545,GBD_HUP,GBD,GAURIBIDANUR,HUP,HINDUPUR,Pantograph interaction issue,3,6,2026-08-25 21:14:14.288111,,PENDING,0.4526
296,TRACTION_DISTRIBUTION,24901,BRD_G,BRD,BHANDARA RD,G,GONDIA JN.,Mast/structure damage,3,4,2026-08-28 01:18:14.288111,,PENDING,0.3038
297,ENGINEERING,12043,KSJ_FGR,KSJ,KASGANJ JN.,FGR,FATEHGARH,Track geometry deviation (twist/alignment),2,13,2026-08-19 02:25:14.288111,,PENDING,0.1308
298,SIGNAL_TELECOM,9445,HRE_LRB,HRE,HIRODIH,LRB,LARABAD BH,Cable/communication fault,5,65,2026-06-28 05:57:14.288111,,PENDING,0.1308
299,SIGNAL_TELECOM,12868,CHI_PNVL,CHI,CHIPLUN,PNVL,PANVEL,Point machine malfunction,4,14,2026-08-17 21:19:14.288111,,PENDING,0.4526
